name	shop_location	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
🔥SALE SỐC🔥 🔥HOT🔥 ⚡ Rẻ vô địch ⚡Áo thun Mini World - áo Hero team đẹp giá rẻ thời trang nam	Hà Nội	False	None	False	5	False	4.875	[8, 0, 0, 0, 1, 7]	None	None	7505000000	-1	7505000000	-1	7505000000	0	None	6	93	8	False	False	1	0	1	22
Áo thun nam cổ tròn sọc dọc cao cấp thời trang nam Liyor - TATCT3001	TP. Hồ Chí Minh	True	41%	False	3	False	5.0	[6, 0, 0, 0, 0, 6]	None	None	11900000000	20000000000	11900000000	20000000000	11900000000	20000000000	None	1251	82	6	True	True	4	1	2	28
Áo Thun Nam Không Tay Chất Liệu Mau Khô Phong Cách Hàn Quốc Áo Ngắn Sleeveless áo ba lỗ croptop Thời trang nam	Nước ngoài	False	29%	False	5	False	4.785714	[28, 0, 1, 1, 1, 25]	None	None	5000000000	7000000000	5000000000	7000000000	5000000000	7000000000	None	37	363	28	False	False	9	0	6	67
thời trang nam- áo thun- áo ngắn tay không cổ Off White Cực Chất, Siêu Rẻ, Bán Chạy Nhất	Hà Nội	False	None	False	7	False	5.0	[13, 0, 0, 0, 0, 13]	None	None	9900000000	-1	15000000000	-1	9900000000	0	None	2597	29	13	False	False	3	0	0	30
Áo thun thể thao chất áo thun lạnh thời trang nam KA54 kynn shop	Hà Nội	True	47%	False	3	False	5.0	[4, 0, 0, 0, 0, 4]	None	None	6900000000	12900000000	6900000000	12900000000	6900000000	12900000000	None	1	123	4	True	False	9	0	2	11
Áo phông thiết kế chữ độc đáo thời trang nam Liyor - TDATCT4001	TP. Hồ Chí Minh	True	39%	False	4	False	5.0	[26, 0, 0, 0, 0, 26]	None	None	11500000000	19000000000	11500000000	19000000000	11500000000	19000000000	None	2997	100	26	True	True	5	1	5	59
Áo thun xước thời trang nam One40	Hà Nội	True	44%	False	4	False	4.769231	[13, 0, 0, 0, 3, 10]	None	None	8900000000	15900000000	8900000000	15900000000	8900000000	15900000000	None	8	44	13	False	True	9	0	1	33
Thời trang nam áo thun nam tay lỡ in phản quang unisex form rộng Alley Hươu Trùm unisex PhillpStore	TP. Hồ Chí Minh	False	None	False	3	False	5.0	[6, 0, 0, 0, 0, 6]	None	None	13000000000	-1	13000000000	-1	13000000000	0	None	643	747	6	False	False	6	0	0	422
ÁO THUN THỜI TRANG NAM SỌC NGANG CỔ TRÒN	TP. Hồ Chí Minh	True	44%	False	4	False	5.0	[22, 0, 0, 0, 0, 22]	None	None	8900000000	16000000000	8900000000	16000000000	8900000000	16000000000	None	139	77	22	True	True	4	1	3	43
Áo thun cotton ngắn tay thoáng khí thời trang nam phong cách thể thao	Nước ngoài	False	50%	False	5	False	4.888889	[9, 0, 0, 0, 1, 8]	None	None	16675000000	33350000000	16675000000	33350000000	16675000000	33350000000	None	9	130	9	False	False	9	0	2	16
Áo thun [DEAL SỐC] áo phông thể thao nam thiết kế sóng cao cấp thời trang nam Liyor - TBDACT4015	TP. Hồ Chí Minh	True	45%	False	4	False	4.888889	[9, 0, 0, 0, 1, 8]	None	None	9900000000	18000000000	9900000000	18000000000	9900000000	18000000000	None	1287	66	9	True	True	4	1	1	40
Thời trang nam cho người béo bụng	Bình Định	True	38%	False	6	False	5.0	[6, 0, 0, 0, 0, 6]	None	None	7500000000	12000000000	8300000000	12000000000	7500000000	12000000000	None	706	11	6	False	False	2	0	0	12
Áo thun nam [FREESHIP 50K] áo phông cổ tròn thiết kế ký tự form suông cao cấp thời trang nam Liyor - BDACT4018	TP. Hồ Chí Minh	True	36%	False	4	False	5.0	[14, 0, 0, 0, 0, 14]	None	None	11500000000	18000000000	11500000000	18000000000	11500000000	18000000000	None	4155	75	14	True	True	3	1	4	24
[XẢ KHO GIÁ SỐC] ÁO THUN NAM NGẮN TAY CỔ TIM MẪU MỚI NHIỀU MÀU	Hà Nội	True	19%	False	7	False	4.655738	[61, 2, 0, 5, 3, 51]	None	None	7900000000	9800000000	7900000000	9800000000	7900000000	9800000000	None	126	1367	61	False	True	7	0	32	272
Áo thun trắng đen unisex form rộng nam nữ chữ kiều MAN vải dày mịn	Đồng Nai	True	None	False	10	False	4.726027	[146, 3, 1, 7, 11, 124]	None	None	2490000000	-1	4990000000	-1	2490000000	0	None	2258	9391	146	False	False	4	0	276	623
Áo Thun Trơn Unisex HỒNG/TAN/NÂU [ FREESHIP ] form Nam nữ unisex ❤️	TP. Hồ Chí Minh	False	50%	False	3	False	4.908708	[712, 2, 1, 9, 36, 664]	None	None	7500000000	15000000000	7500000000	15000000000	7500000000	15000000000	None	3211	6157	712	False	True	3	0	113	1873
Áo thun nam cổ tròn AD hoạ tiết cao cấp KENSTORE89 ATV145	TP. Hồ Chí Minh	True	36%	False	4	False	4.906977	[43, 1, 0, 0, 0, 42]	None	None	13500000000	21000000000	13500000000	21000000000	13500000000	21000000000	None	51	1928	43	False	True	3	0	38	124
Áo thun cotton cao cấp 🔴COTTON🔴 Áo thun nam tay ngắn cao cấp unisex NxT Shiba 100% Cotton	TP. Hồ Chí Minh	False	30%	False	3	False	4.846154	[26, 0, 0, 0, 4, 22]	None	None	15500000000	22000000000	15500000000	22000000000	15500000000	22000000000	None	13197	841	26	False	False	9	0	19	65
Áo thun nam tay ngắn không cổ chất cotton tici phối hình - CZ23	Hà Nội	True	34%	False	5	False	4.876923	[390, 5, 0, 5, 18, 362]	None	None	3300000000	5000000000	4990000000	6500000000	3300000000	5000000000	None	253	8874	390	False	True	9	0	141	1145
Áo thun nam nữ tay lỡ YINXX, áo phông form rộng ATL193	TP. Hồ Chí Minh	False	32%	False	2	False	4.972477	[981, 1, 1, 3, 14, 962]	None	None	6800000000	8000000000	6800000000	10000000000	6800000000	8000000000	None	907	28123	981	False	False	9	0	666	1873
Áo thun nam cổ tròn POLOMAN vải Cotton co giãn,dày dặn, form slim fit B02	TP. Hồ Chí Minh	False	7%	False	4	True	4.944866	[1451, 5, 1, 8, 41, 1396]	None	None	14000000000	15000000000	14000000000	15000000000	14000000000	15000000000	None	1073	79155	1451	False	True	9	0	1954	3901
[XẢ KHO GIÁ SỐC] Áo thun nam cổ tim ngắn tay đẹp nhiều màu đủ size ( có size lớn cho người 100 kg )	Hà Nội	True	34%	False	6	False	4.666667	[66, 2, 1, 3, 5, 55]	None	None	9900000000	15000000000	9900000000	15000000000	9900000000	15000000000	None	29	932	66	False	False	6	0	43	316
Áo Thun Tay Lỡ Nam Nữ H-des Phản Quang Đa Sắc	Hà Nội	False	28%	False	5	False	4.79691	[2201, 31, 15, 66, 146, 1943]	None	None	8568000000	11900000000	8568000000	11900000000	8568000000	11900000000	None	3050	4497	2201	False	True	6	1	102	6311
Áo thun nam cổ tròn thêu đại bàng độc đáo chất liệu thun cotton cao cấp - Thời Trang nam Siibe	TP. Hồ Chí Minh	False	50%	False	4	False	5.0	[10, 0, 0, 0, 0, 10]	None	None	9000000000	18000000000	9000000000	18000000000	9000000000	18000000000	None	2182	76	10	False	True	7	0	0	13
