	name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
510	Áo Khoác Bomber Khóa Kéo Thời Trang Nam 2020	Nước ngoài	1601284072	1609771212	8487140	False	None	False	32	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	49910500000	-1	62656500000	-1	49910500000	0	None	0	1	0	False	False	8	0	0	0
511	Áo khoác phao sumny áo khoác dày áo khoác đông dáng ngắn thời trang nam	TP. Hồ Chí Minh	1578486007	1609771212	31285205	False	None	False	8	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	44500000000	-1	44500000000	-1	44500000000	0	None	0	3	0	False	True	9	0	0	0
512	Áo khoác nam giới áo khoác nam giới thời trang thể thao giản dị áo khoác hai mặt kiểu mới mùa hè 2018 Áo khoác nam mỏng Size Lớn Áo Chống Nắng Phong Cách Hàn Quốc thời trang nam	Nước ngoài	1608468321	1609771212	1302891	False	50%	False	8	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	30000000000	60000000000	30000000000	60000000000	30000000000	60000000000	None	0	1	0	False	False	9	0	0	0
513	Áo hoodie dày dáng rộng thời trang nam phong cách Hàn Quốc	Nước ngoài	1604414440	1609771212	5356772	False	49%	False	49	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	22740000000	44410000000	22740000000	44410000000	22740000000	44410000000	None	0	0	0	False	False	9	0	0	0
514	Áo Khoác Giả Lông Thời Trang Nam	Nước ngoài	1603882646	1609771212	5888566	False	None	False	8	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	75160000000	-1	75160000000	-1	75160000000	0	None	0	1	0	False	False	8	0	0	0
515	Áo Khoác Gió Có Nón Trùm Đầu Thời Trang Nam	Nước ngoài	1608803237	1609771212	967975	False	None	False	48	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	59368900000	-1	74211100000	-1	59368900000	0	None	0	0	0	False	False	6	0	0	0
516	( Xả Kho ) [Thời trang nam 2020] ÁO GIÓ HỌA TIẾT CAMO DẰN DI [HOT] LP99 -az1	Đà Nẵng	1608372472	1609771212	1398740	False	35%	False	3	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	63785900000	98132100000	63785900000	98132100000	63785900000	98132100000	None	0	1	0	False	False	5	0	0	0
517	ÁO KHOÁC DA BÓNG THỜI TRANG NAM CỰC HOT	TP. Hồ Chí Minh	1602083823	1609771212	7687389	False	35%	False	4	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	18785000000	28900000000	18785000000	28900000000	18785000000	28900000000	None	0	1	0	False	False	4	0	0	0
518	Áo Khoác Thời Trang Nam Jy-945	Nước ngoài	1601189499	1609771212	8581713	False	None	False	4	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	46000000000	-1	46000000000	-1	46000000000	0	None	0	0	0	False	False	4	0	0	0
519	Áo Khoác Bomber Thời Trang Nam	Nước ngoài	1600065836	1609771212	9705376	False	None	False	18	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	61080000000	-1	61080000000	-1	61080000000	0	None	0	0	0	False	False	9	0	0	0
520	Áo Khoác Denim Thời Trang Nam	Nước ngoài	1600061750	1609771212	9709462	False	None	False	5	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	63610000000	-1	63610000000	-1	63610000000	0	None	0	0	0	False	False	6	0	0	0
521	Áo Khoác Nam sinh áo khoác nam sinh Áo khoác nam giản dị thể thao thời trang dáng rộng xuân thu thương hiệu thời trang nam thêu dáng rộng áo khoác denim phong cách Hàn Quốc mới học sinh màu trắng nối liền mũ cao bồi Áo khoác	Nước ngoài	1608468321	1609771212	1302891	False	50%	False	15	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	30000000000	60000000000	30000000000	60000000000	30000000000	60000000000	None	0	2	0	False	False	9	0	0	0
522	Áo Hoodies Có Nón Dài Tay In Hình 3d Thời Trang Nam	Nước ngoài	1595261366	1609771212	14509846	False	33%	False	20	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	29380000000	43760000000	29380000000	43760000000	29380000000	43760000000	None	0	0	0	False	False	7	0	0	0
523	Áo Khoác Thời Trang Nam Có Dây Kéo	Nước ngoài	1592129836	1609771212	17641376	False	None	False	12	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	30230000000	-1	30230000000	-1	30230000000	0	None	0	0	0	False	False	7	0	0	0
524	Áo Khoác Jean Không Tay Thời Trang Nam	Nước ngoài	1588846032	1609771212	20925180	False	47%	False	8	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	26170000000	49790000000	26170000000	49790000000	26170000000	49790000000	None	1	0	0	False	False	9	0	0	0
525	( Xa Kho ) [HÀNG MỚI VỀ] _ Áo gió 2 lớp thời trang nam AG02, phom 45-80kg - Acx23 . KF6	Tuyên Quang	1608800625	1609771212	970587	False	20%	False	12	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	23926400000	29908000000	23926400000	29908000000	23926400000	29908000000	None	0	0	0	False	False	1	0	0	0
526	áo phông Dota 2 in hình đẹp ⚡ FREESHIP ⚡Áo Game đẹp giá rẻ thời trang nam	Hà Nội	1590507746	1609771212	19263466	False	None	False	1	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	10098000000	-1	10098000000	-1	10098000000	0	None	0	0	0	False	False	1	0	0	0
527	ÁO KHOÁC KAKI TÚI HỘP THỜI TRANG NAM CÓ FORM LỚN	TP. Hồ Chí Minh	1585928708	1609771212	23842504	False	28%	False	6	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	12900000000	18000000000	12900000000	18000000000	12900000000	18000000000	None	253	3	0	False	False	7	0	0	0
528	Áo Khoác Dù Nam Cao Cấp,Thời Trang Nam-AKDN06	TP. Hồ Chí Minh	1608818252	1609771212	952960	False	2%	False	9	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	28322000000	28900000000	28322000000	28900000000	28322000000	28900000000	None	0	0	0	False	False	3	0	0	0
529	( Xa Kho ) [Thời trang nam 2020] ÁO GIÓ CHỐNG NƯỚC 2 LỚP LÓT LƯỚI TRÁNG GƯƠNG [HOT] - Acx23 . KF6	Tuyên Quang	1608805567	1609771212	965645	False	20%	False	16	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	50462400000	63078000000	50462400000	63078000000	50462400000	63078000000	None	0	0	0	False	False	2	0	0	0
530	Áo Hoodies Có Nón Dài Tay Thời Trang Nam	Nước ngoài	1581757126	1609771212	28014086	False	38%	False	0	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	9730000000	15500000000	11270000000	18000000000	9730000000	15500000000	None	0	0	0	False	False	9	0	0	0
531	Áo Khoác Thời Trang Nam	Nước ngoài	1585557256	1609771212	24213956	False	None	False	30	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	81100000000	-1	81100000000	-1	81100000000	0	None	7	0	0	False	False	5	0	0	0
532	Áo Khoác Thời Trang Nam	Nước ngoài	1578216875	1609771212	31554337	False	10%	False	49	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	85120000000	94720000000	85120000000	94720000000	85120000000	94720000000	None	0	0	0	False	False	9	0	0	0
533	Áo Khoác Thời Trang Nam	Nước ngoài	1573656308	1609771212	36114904	False	14%	False	8	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	76870000000	89120000000	76870000000	89120000000	76870000000	89120000000	None	0	0	0	False	False	9	0	0	0
534	Áo Khoác Da Pu Thời Trang Nam Cá Tính	Nước ngoài	1576282763	1609771212	33488449	False	None	False	15	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	83650400000	-1	83650400000	-1	83650400000	0	None	0	0	0	False	False	9	0	0	0
535	Áo Khoác Da Pu Có Nón Khóa Kéo Thời Trang Nam	Nước ngoài	1608374699	1609771212	1396513	False	None	False	18	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	71798900000	-1	77485900000	-1	71798900000	0	None	0	1	0	False	False	6	0	0	0
