category	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
Ao ngan tay khong co	Hà Nội	1580400074.0	1609949428.0	29549354.0	False	None	False	5.0	False	4.8	8.0	2.0	0.0	0.0	0.0	None	None	6900000000.0	-1.0	6900000000.0	-1.0	6900000000.0	0.0	None	36.0	176.0	10.0	False	False	1.0	0.0	19.0
Ao ngan tay khong co	Hà Nội	1584754090.0	1609949428.0	25195338.0	True	44%	False	16.0	False	4.7692309999999996	10.0	3.0	0.0	0.0	0.0	None	None	8900000000.0	15900000000.0	8900000000.0	15900000000.0	8900000000.0	15900000000.0	None	8.0	49.0	13.0	False	True	9.0	0.0	34.0
Ao ngan tay khong co	Nước ngoài	1577545992.0	1609949428.0	32403436.0	False	50%	False	15.0	False	4.888889	8.0	1.0	0.0	0.0	0.0	None	None	16675000000.0	33350000000.0	16675000000.0	33350000000.0	16675000000.0	33350000000.0	None	9.0	119.0	9.0	False	False	9.0	0.0	16.0
Ao ngan tay khong co	Hà Nội	1583202374.0	1609949428.0	26747054.0	True	None	False	24.0	False	5.0	7.0	0.0	0.0	0.0	0.0	None	None	9900000000.0	-1.0	9900000000.0	-1.0	9900000000.0	0.0	None	1.0	70.0	7.0	True	False	9.0	0.0	17.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1563630360.0	1609949428.0	46319068.0	True	50%	False	12.0	False	4.871429	64.0	3.0	3.0	0.0	0.0	None	None	12500000000.0	25000000000.0	12500000000.0	25000000000.0	12500000000.0	25000000000.0	None	10298.0	158.0	70.0	True	True	3.0	1.0	159.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1591084136.0	1609949428.0	18865292.0	False	50%	False	15.0	False	5.0	7.0	0.0	0.0	0.0	0.0	None	None	9900000000.0	19800000000.0	9900000000.0	19800000000.0	9900000000.0	19800000000.0	None	51.0	31.0	7.0	False	True	5.0	0.0	9.0
Ao ngan tay khong co	Hà Nội	1591376266.0	1609949428.0	18573162.0	True	17%	False	12.0	False	4.727273	9.0	1.0	1.0	0.0	0.0	None	None	2900000000.0	3500000000.0	2900000000.0	3500000000.0	2900000000.0	3500000000.0	None	5.0	105.0	11.0	False	False	7.0	0.0	33.0
Ao ngan tay khong co	Hà Nội	1587532733.0	1609949428.0	22416695.0	False	None	False	5.0	False	4.875	7.0	1.0	0.0	0.0	0.0	None	None	7505000000.0	-1.0	7505000000.0	-1.0	7505000000.0	0.0	None	9.0	84.0	8.0	False	False	1.0	0.0	22.0
Ao ngan tay khong co	Hà Nội	1583561420.0	1609949428.0	26388008.0	False	None	False	4.0	False	5.0	4.0	0.0	0.0	0.0	0.0	None	None	7900000000.0	-1.0	7900000000.0	-1.0	7900000000.0	0.0	None	12.0	62.0	4.0	False	True	1.0	0.0	17.0
Ao ngan tay khong co	Hà Nội	1589125479.0	1609949428.0	20823949.0	False	None	False	10.0	False	4.705882	14.0	1.0	2.0	0.0	0.0	None	None	7900000000.0	-1.0	7900000000.0	-1.0	7900000000.0	0.0	None	126.0	1543.0	17.0	False	False	1.0	0.0	114.0
