category	name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discount	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
Phu kien Nam	Cà vạt đồng phục thời trang nam sinh Nhật Bản	Nước ngoài	1603161843	1609910398	6748555	False	None	False	1	False	0.0	0	0	0	0	0	None	None	27220000000	-1	27220000000	-1	27220000000	0	None	0	0	0	False	False	5	0	0
Phu kien Nam	Mũ nón lưỡi trai nam Ediko thời trang nam	Bình Thuận	1609840183	1609910398	70215	False	None	False	1	False	0.0	0	0	0	0	0	None	None	25000000000	-1	25000000000	-1	25000000000	0	None	0	0	0	False	False	4	0	0
Phu kien Nam	Mũ Lưỡi Trai Họa Tiết Da Báo Thời Trang Nam	Nước ngoài	1597792966	1609910398	12117432	False	30%	False	3	False	0.0	0	0	0	0	0	None	None	14540000000	20770000000	14540000000	20770000000	14540000000	20770000000	None	0	0	0	False	False	8	0	0
Phu kien Nam	Nón Tròn Vành Tròn Trơn Màu Thời Trang Cho Nam	Nước ngoài	1535190061	1609910398	74720337	True	20%	False	10	False	4.851852	24	2	1	0	0	None	None	7300000000	9160400000	7300000000	9160400000	7300000000	9160400000	None	21	37	27	False	True	9	0	143
Phu kien Nam	(FREESHIP) [freeship] Giày lười da nam cao cấp,Thời trang nam .	Hà Nội	1598501056	1609910398	11409342	False	None	False	2	False	0.0	0	0	0	0	0	None	None	234000000000	-1	234000000000	-1	234000000000	0	None	0	0	0	False	False	1	0	0
Phu kien Nam	Găng Tay Da Pu Giữ Ấm Thời Trang Nam	Nước ngoài	1596585464	1609910398	13324934	False	50%	False	2	False	0.0	0	0	0	0	0	None	None	9740000000	19380000000	9740000000	19380000000	9740000000	19380000000	None	0	0	0	False	False	9	0	0
Phu kien Nam	Nón Len Trùm Đầu Thời Trang Nam	Nước ngoài	1595244801	1609910398	14665597	False	None	False	3	False	0.0	0	0	0	0	0	None	None	44820000000	-1	44820000000	-1	44820000000	0	None	0	0	0	False	False	9	0	0
Phu kien Nam	Mũ Beret Thiết Kế Trơn Đơn Giản Thời Trang Nam	Nước ngoài	1597787787	1609910398	12122611	False	None	False	4	False	0.0	0	0	0	0	0	None	None	15100000000	-1	15100000000	-1	15100000000	0	None	0	0	0	False	False	5	0	0
Phu kien Nam	Nón Lưỡi Trai Thời Trang Nam	Nước ngoài	1600666351	1609910398	9244047	False	40%	False	2	False	0.0	0	0	0	0	0	None	None	12400000000	20780000000	12400000000	20780000000	12400000000	20780000000	None	0	0	0	False	False	6	0	0
Phu kien Nam	Mũ nón lưỡi trai nam Ediko thời trang nam	Bình Thuận	1609840357	1609910398	70041	False	None	False	1	False	0.0	0	0	0	0	0	None	None	25000000000	-1	25000000000	-1	25000000000	0	None	0	0	0	False	False	4	0	0
Phu kien Nam	[freeship] Giày lười da nam cao cấp,Thời trang nam	Hà Nội	1594951390	1609910398	14959008	False	None	False	2	False	0.0	0	0	0	0	0	None	None	232000000000	-1	232000000000	-1	232000000000	0	None	0	0	0	False	False	1	0	0
Phu kien Nam	Mũ nón lưỡi trai nam Ediko thời trang nam	Bình Thuận	1609855031	1609910398	55367	False	None	False	1	False	0.0	0	0	0	0	0	None	None	25000000000	-1	25000000000	-1	25000000000	0	None	0	0	0	False	False	4	0	0
Phu kien Nam	Mũ Trùm Đầu Thể Thao Du Lịch Thời Trang Nam	Nước ngoài	1596992621	1609910398	12917777	False	50%	False	2	False	0.0	0	0	0	0	0	None	None	23540000000	46840000000	23540000000	46840000000	23540000000	46840000000	None	0	0	0	False	False	9	0	0
Phu kien Nam	Mũ Tai Bèo Thời Trang Nam	Nước ngoài	1605704306	1609910398	4206092	False	50%	False	6	False	0.0	0	0	0	0	0	None	None	26460000000	52660000000	26460000000	52660000000	26460000000	52660000000	None	0	0	0	False	False	4	0	0
Phu kien Nam	Nón Kết Thêu Logo Batman Thời Trang Nam	Nước ngoài	1598494185	1609910398	11416213	False	None	False	1	False	0.0	0	0	0	0	0	None	None	18290000000	-1	18290000000	-1	18290000000	0	None	0	0	0	False	False	2	0	0
Phu kien Nam	Nón Vành Chống Nắng Thời Trang Nam	Nước ngoài	1598616470	1609910398	11293928	False	50%	False	7	False	0.0	0	0	0	0	0	None	None	8140000000	16190000000	8140000000	16190000000	8140000000	16190000000	None	0	0	0	False	False	9	0	0
Phu kien Nam	Mũ Lưỡi Trai Thời Trang Nam 2020	Nước ngoài	1605704257	1609910398	4206141	False	50%	False	3	False	0.0	0	0	0	0	0	None	None	26460000000	52660000000	26460000000	52660000000	26460000000	52660000000	None	0	1	0	False	False	6	0	0
Phu kien Nam	Khăn đa năng thời trang nam 2 lớp cao cấp theo tiêu chuẩn xuất khẩu Pháp	Khánh Hòa	1602466448	1609910398	7443950	False	None	False	3	False	0.0	0	0	0	0	0	None	None	2500000000	-1	2500000000	-1	2500000000	0	None	0	5	0	False	False	9	0	0
Phu kien Nam	Mũ Lưỡi Trai Phối Lưới Thời Trang Nam	Nước ngoài	1587585058	1609910398	22325340	False	10%	False	1	False	0.0	0	0	0	0	0	None	None	35350000000	39350000000	35350000000	39350000000	35350000000	39350000000	None	0	0	0	False	False	1	0	0
Phu kien Nam	[freeship] Giày lười da nam cao cấp,Thời trang nam	Hà Nội	1594951944	1609910398	14958454	False	None	False	2	False	0.0	0	0	0	0	0	None	None	232000000000	-1	232000000000	-1	232000000000	0	None	0	0	0	False	False	1	0	0
Phu kien Nam	Nón Len Thời Trang Nam	Nước ngoài	1576900734	1609910398	33009664	True	28%	False	0	False	0.0	0	0	0	0	0	None	None	7992000000	11100000000	7992000000	11100000000	7992000000	11100000000	None	0	0	0	False	False	5	0	0
Phu kien Nam	Phụ Kiện Cà Vạt Kim Loại Thời Trang Nam	Nước ngoài	1597221706	1609910398	12688692	False	19%	False	3	False	0.0	0	0	0	0	0	None	None	5290000000	6560000000	5290000000	6560000000	5290000000	6560000000	None	0	0	0	False	False	9	0	0
Phu kien Nam	Mũ Lưỡi Trai Da Thời Trang Nam	Nước ngoài	1602766125	1609910398	7144273	False	50%	False	6	False	0.0	0	0	0	0	0	None	None	33070000000	65730000000	33070000000	65730000000	33070000000	65730000000	None	0	0	0	False	False	7	0	0
Phu kien Nam	Mũ Lưỡi Trai Dạng Lưới Thời Trang Nam	Nước ngoài	1602669443	1609910398	7240955	False	25%	False	5	False	0.0	0	0	0	0	0	None	None	44280000000	59260000000	44280000000	59260000000	44280000000	59260000000	None	0	0	0	False	False	6	0	0
Phu kien Nam	Mũ Lưỡi Trai Thể Thao Thời Trang Nam	Nước ngoài	1598960043	1609910398	10950355	False	50%	False	1	False	0.0	0	0	0	0	0	None	None	7430000000	14790000000	7430000000	14790000000	7430000000	14790000000	None	0	0	0	False	False	1	0	0
Phu kien Nam	Nón kết Vans (Mẫu 1) ^oo^ Thời trang Nam	TP. Hồ Chí Minh	1502883871	1609910398	107026527	False	None	False	0	False	0.0	0	0	0	0	0	None	None	6500000000	-1	6500000000	-1	6500000000	0	None	3	0	0	False	True	1	0	0
Phu kien Nam	Nơ Thắt Cổ Áo Thời Trang Nam Lịch Lãm	Nước ngoài	1604977685	1609910398	4932713	False	None	False	6	False	0.0	0	0	0	0	0	None	None	29390000000	-1	29390000000	-1	29390000000	0	None	0	0	0	False	False	9	0	0
Phu kien Nam	Khăn Choàng Cổ In Họa Tiết Thời Trang Nam	Nước ngoài	1575139185	1609910398	34771213	False	None	False	6	False	0.0	0	0	0	0	0	None	None	36540000000	-1	55750000000	-1	36540000000	0	None	0	0	0	False	False	5	0	0
Phu kien Nam	Mũ nón lưỡi trai nam Ediko thời trang nam	Bình Thuận	1609842432	1609910398	67966	False	None	False	1	False	0.0	0	0	0	0	0	None	None	25000000000	-1	25000000000	-1	25000000000	0	None	0	0	0	False	False	4	0	0
Phu kien Nam	Cà vạt vải lụa jacquard 22 màu trơn kiểu cổ điển sang trọng thời trang nam	Nước ngoài	1589517321	1609910398	20393077	True	50%	False	20	False	0.0	0	0	0	0	0	None	None	1890000000	3750000000	1890000000	3750000000	1890000000	3750000000	None	0	0	0	False	False	9	0	0
Phu kien Nam	Đồng Hồ Đeo Tay Dây Da Thời Trang Nam	Nước ngoài	1592142036	1609910398	17768362	False	50%	False	3	False	0.0	0	0	0	0	0	None	None	40810000000	81200000000	40810000000	81200000000	40810000000	81200000000	None	0	0	0	False	False	8	0	0
Phu kien Nam	Găng Tay Da Pu Giữ Ấm Thời Trang Nam	Nước ngoài	1596538490	1609910398	13371908	False	50%	False	2	False	0.0	0	0	0	0	0	None	None	13600000000	27060000000	13600000000	27060000000	13600000000	27060000000	None	0	0	0	False	False	9	0	0
Phu kien Nam	Mũ Lưỡi Trai Thêu Logo Vv Biam Thời Trang Nam	Nước ngoài	1605621467	1609910398	4288931	False	19%	False	8	False	0.0	0	0	0	0	0	None	None	21780000000	27040000000	21780000000	27040000000	21780000000	27040000000	None	0	0	0	False	False	3	0	0
Phu kien Nam	Mũ nón lưỡi trai nam Ediko thời trang nam	Bình Thuận	1609839533	1609910398	70865	False	None	False	1	False	0.0	0	0	0	0	0	None	None	25000000000	-1	25000000000	-1	25000000000	0	None	0	0	0	False	False	4	0	0
Phu kien Nam	[ Hàng Mới 2020 ] NÓN BUCKET RẰN RI THỜI TRANG NAM [ ST.SHOP sale 99% ]	TP. Hồ Chí Minh	1597231176	1609910398	12679222	False	None	False	3	False	0.0	0	0	0	0	0	None	None	6902200000	-1	6902200000	-1	6902200000	0	None	0	0	0	False	False	1	0	0
