name	shop_location	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
Quần tây âu công sở thời trang nam màu ghi sáng ELNIDO	Hà Nội	False	50%	False	5	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	12000000000	24000000000	12000000000	24000000000	12000000000	24000000000	None	2114	25	1	False	False	8	1	0	1
Đơn thời trang nam 320k	TP. Hồ Chí Minh	False	None	False	1	False	5.0	[3, 0, 0, 0, 0, 3]	None	None	32000000000	-1	32000000000	-1	32000000000	0	None	0	0	3	False	False	1	0	0	3
Quần Dài Ống Đứng Thời Trang Nam	Nước ngoài	False	35%	False	6	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	12068900000	18500000000	12068900000	18500000000	12068900000	18500000000	None	0	0	1	False	False	9	0	0	1
Quần Âu Nam Hàn Quốc Màu Xanh Than Thời Trang Nam - 10WearShop	Hà Nội	False	None	False	6	False	5.0	[2, 0, 0, 0, 0, 2]	None	None	22000000000	-1	22000000000	-1	22000000000	0	None	0	13	2	False	False	8	1	0	3
Quần bò nam xám rách gối hàng xuất Hàn Quốc của hãng thời trang nam Routine	Hà Nội	False	None	False	7	True	5.0	[2, 0, 0, 0, 0, 2]	None	None	49900000000	-1	49900000000	-1	49900000000	0	None	2536	57	2	False	True	4	0	1	8
[ Quần âu Cao Cấp ] Quần Âu Họa Tiết Đính Đá Dáng Ôm Ống Côn Vải Chống Nhăn - thời trang nam atbshop	Hà Nội	True	44%	False	6	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	12900000000	23000000000	23000000000	23000000000	12900000000	23000000000	None	4	43	1	False	False	9	0	1	9
Quần Kaki Nam Co giãn, Dáng Âu ôm gọn, phong cách Thời Trang Nam Cao cấp [XIN XO]	Hà Nội	True	35%	False	7	False	4.928571	[14, 0, 0, 0, 1, 13]	None	None	15457000000	23780000000	15457000000	23780000000	15457000000	23780000000	None	0	69	14	False	False	8	0	7	154
Đơn thời trang nam 600k	TP. Hồ Chí Minh	False	None	False	1	False	4.333333	[3, 0, 0, 1, 0, 2]	None	None	60000000000	-1	60000000000	-1	60000000000	0	None	0	0	3	False	False	1	0	0	5
Quần jean dài chất liệu cotton thời trang nam Bossini 514102110	TP. Hồ Chí Minh	False	None	False	7	True	0.0	[0, 0, 0, 0, 0, 0]	None	None	79000000000	-1	79000000000	-1	79000000000	0	None	1	28	0	False	False	6	0	1	1
Quần jean nam màu đen King168 jean nam thời trang nam cao câp MS2057	TP. Hồ Chí Minh	False	17%	False	5	False	5.0	[2, 0, 0, 0, 0, 2]	None	None	15000000000	18000000000	15000000000	18000000000	15000000000	18000000000	None	2	50	2	False	False	5	0	0	3
🛫 ĐỈNH CAO XẢ ⚡ | Xả Sales | | Sales 11/11 |_ Quần Bò thời trang nam- quần bò DSQ cao cấp -- Siêu Đẹp .. . Xịn . . . 🛫 .	Đà Nẵng	False	None	False	5	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	15578000000	-1	15578000000	-1	15578000000	0	None	0	0	0	False	False	1	0	0	0
Quần Jean Nam Cao Cấp Mẫu Mới Rách Gối Thêu Chữ Siêu Đẹp Chất Jean Co Dãn Tốt Thời Trang Nam, Quần Bò Nam	TP. Hồ Chí Minh	False	None	False	5	False	4.285714	[21, 2, 0, 3, 1, 15]	None	None	27000000000	-1	27000000000	-1	27000000000	0	None	4005	54	21	False	False	2	0	0	40
[MẶC LÀ THÍCH] Quần kaki Co Giãn 4 Chiều - Thời trang nam 2019	Hà Nội	True	44%	False	7	False	4.75	[4, 0, 0, 0, 1, 3]	None	None	14000000000	24900000000	14000000000	24900000000	14000000000	24900000000	None	597	109	4	False	True	1	0	0	98
Thời trang nam QUẦN SHORT JEAN MẪU MỚI THIẾT KẾ HIỆN ĐẠI	TP. Hồ Chí Minh	True	None	False	5	False	5.0	[2, 0, 0, 0, 0, 2]	None	None	18500000000	-1	18500000000	-1	18500000000	0	None	1	20	2	False	True	3	0	0	7
Quần jean nam rách gối màu ghi thời trang nam ROUTINE	Hà Nội	False	None	False	7	True	0.0	[0, 0, 0, 0, 0, 0]	None	None	49900000000	-1	49900000000	-1	49900000000	0	None	4	33	0	False	True	4	0	0	4
Quần tây nam hàn quốc (màu đen) ống côn dáng body, phong cách thời trang nam cao cấp	Hà Nội	False	39%	False	7	False	5.0	[2, 0, 0, 0, 0, 2]	None	None	10900000000	18000000000	10900000000	18000000000	10900000000	18000000000	None	810	141	2	False	False	9	0	100	100
Quần Dài Ống Đứng Thời Trang Nam	Nước ngoài	True	27%	False	7	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	16936000000	23200000000	16936000000	23200000000	16936000000	23200000000	None	1	23	1	False	False	8	0	0	2
Quần âu màu xám tiêu đẳng cấp thời trang nam 2019	Hà Nội	False	45%	False	7	False	4.860465	[43, 0, 0, 2, 2, 39]	None	None	9900000000	18000000000	9900000000	18000000000	9900000000	18000000000	None	3025	102	43	False	True	8	0	2	121
Quần bò nam jogger xanh hàng xuất khẩu thời trang nam Routine	Hà Nội	False	None	False	7	True	0.0	[0, 0, 0, 0, 0, 0]	None	None	49900000000	-1	49900000000	-1	49900000000	0	None	220	49	0	False	True	4	0	0	3
